State Abbreviation,Name,5-digit FIPS Code,Adult Obesity raw value,Premature Death raw value,Poor Physical Health Days raw value,Low Birth Weight raw value,Poor Mental Health Days raw value,Poor or Fair Health raw value,Flu Vaccinations raw value,Access to Exercise Opportunities raw value,Food Environment Index raw value,Primary Care Physicians raw value,Mental Health Providers raw value,Dentists raw value,Preventable Hospital Stays raw value,Mammography Screening raw value,Uninsured raw value,Severe Housing Problems raw value,Driving Alone to Work raw value,Long Commute - Driving Alone raw value,Air Pollution: Particulate Matter raw value,Drinking Water Violations raw value,Broadband Access raw value,Library Access raw value,Some College raw value,High School Completion raw value,Unemployment raw value,Income Inequality raw value,Children in Poverty raw value,Injury Deaths raw value,Social Associations raw value,Child Care Cost Burden raw value,Life Expectancy raw value,Premature Age-Adjusted Mortality raw value,Frequent Physical Distress raw value,Diabetes Prevalence raw value,HIV Prevalence raw value,Frequent Mental Distress raw value,Suicides raw value,Feelings of Loneliness raw value,Limited Access to Healthy Foods raw value,Food Insecurity raw value,Insufficient Sleep raw value,Teen Births raw value,Sexually Transmitted Infections raw value,Excessive Drinking raw value,Alcohol-Impaired Driving Deaths raw value,Adult Smoking raw value,Physical Inactivity raw value,Uninsured Adults raw value,Uninsured Children raw value,Other Primary Care Providers raw value,Traffic Volume raw value,Homeownership raw value,Severe Housing Cost Burden raw value,Access to Parks raw value,Adverse Climate Events raw value,Census Participation raw value,Voter Turnout raw value,High School Graduation raw value,Reading Scores raw value,Math Scores raw value,School Segregation raw value,School Funding Adequacy raw value,Children Eligible for Free or Reduced Price Lunch raw value,Gender Pay Gap raw value,Median Household Income raw value,Child Care Centers raw value,Motor Vehicle Crash Deaths raw value,Lack of Social and Emotional Support raw value,% Below 18 Years of Age raw value,% 65 and Older raw value,% Female raw value,% American Indian or Alaska Native raw value,% Asian raw value,% Hispanic raw value,% Native Hawaiian or Other Pacific Islander raw value,% Non-Hispanic Black raw value,% Non-Hispanic White raw value,% Disability: Functional Limitations raw value,% Not Proficient in English raw value,Children in Single-Parent Households raw value,% Rural raw value,Population raw value
AL,Autauga County,01001,0.384,9938.2633823,4.3003635569,0.0999582638,5.832900762,0.177,0.36,0.5449196497,6.8,0.0004399695,0.0003645885,0.0003012099,4365.0,0.46,0.0819036072,0.1352093342,0.8491622183,0.421,9.3,0.0,0.9088043333,1.1245687112,0.6137873219,0.9027890205,0.0218888889,4.2737120382,0.17,65.975725122,11.21170033,0.2183510754,74.800645825,491.52206077,0.121,0.113,223.6,0.18,15.583026865,0.343,0.1302099797,0.151,0.377,19.846153846,497.0,0.1742627661,0.2745098039,0.154,0.257,0.1034935718,0.0267008808,0.0004640217,46.473848192,0.7491009191,0.0982333798,0.0539579968,2.0,0.688,0.6618207817,0.83,3.146095,2.94571,0.0582342997,-2319.66,0.5621603999,0.7068798934,68857,5.7263411694,17.866624391,0.24,0.2334857976,0.167826721,0.5148155514,0.0049550893,0.013092042,0.0385303769,0.0013920652,0.2099035498,0.7136322959,0.311,0.0039208665,0.222613318,0.406768132,60342
AL,Baldwin County,01003,0.368,8957.1126859,3.8764361413,0.0813328556,6.020777623,0.17,0.44,0.6162439001,7.4,0.000626844,0.0012070673,0.0004707124,2888.0,0.45,0.1021234205,0.1196811561,0.8029674523,0.381,7.8,0.0,0.8975085057,3.8620967643,0.6484787528,0.9173139987,0.0227949698,4.3595257111,0.141,82.420053413,9.6982977256,0.1935405667,76.580109234,416.8761308,0.121,0.102,170.1,0.182,19.20718595,0.316,0.0793677936,0.149,0.364,18.970019847,336.8,0.2059871257,0.3641618497,0.147,0.238,0.1270583015,0.0351224246,0.0009112174,39.068067272,0.7753534372,0.1155147835,0.1657224713,2.0,0.564,0.652909486,0.8673389021,3.095679,2.930823,0.0857224398,506.3,0.5239027991,0.7219864574,74248,6.2318238471,15.024124179,0.225,0.2095011183,0.2205974588,0.5128457991,0.0084889175,0.0115144749,0.0578208886,0.0006942609,0.0822146923,0.8226794526,0.296,0.0083693411,0.1962827317,0.3758645536,253507
AL,Barbour County,01005,0.438,12738.656137,5.4310302942,0.1245421245,6.3399860323,0.284,0.39,0.5485866075,6.2,0.0004005768,0.0002847265,0.000323808,3560.0,0.47,0.1211704165,0.1380638064,0.8240850059,0.375,8.8,0.0,0.7230176211,0.6935785096,0.4407743125,0.7781370547,0.0443101712,5.6143391098,0.348,85.603992699,8.9047195013,0.2857962824,72.708991709,629.20654916,0.168,0.16,536.4,0.211,14.787585791,0.357,0.1043317167,0.19,0.446,35.930645498,809.5,0.140686442,0.3,0.219,0.349,0.1580139227,0.0307052298,0.0008948546,34.405649276,0.6748898678,0.1066602894,0.0973318003,2.0,0.545,0.5402157165,0.751627907,2.203485,1.959501,0.0356112404,-17790.455,0.6921758995,0.7703420203,45298,5.303030303,25.705325572,0.307,0.2061419565,0.2058165548,0.4685377263,0.0082977425,0.0058165548,0.0621110433,0.0030506406,0.4648362823,0.4476306691,0.407,0.0161697395,0.519379845,0.6591999366,24585
AL,Bibb County,01007,0.414,11708.948038,5.0556189336,0.1001747234,6.5659451695,0.251,0.31,0.4339030189,7.3,0.0006673488,0.0003658314,0.0002272211,5029.0,0.36,0.1083579882,0.119266055,0.8789334614,0.535,8.6,1.0,0.8115176331,1.0057236304,0.4353322528,0.8034021719,0.024623803,5.3467271211,0.214,99.630201415,8.6344012724,0.2658277555,72.977378514,621.15946924,0.161,0.133,322.1,0.213,17.838850899,0.363,0.0044586621,0.191,0.414,29.232333503,418.1,0.1650143106,0.15,0.218,0.322,0.1347132961,0.0354180677,0.0012804097,8.146790014,0.7717606657,0.1100699301,0.182119948,1.0,0.56,0.5456354848,0.91,2.707032,2.24066,0.0896321903,-3657.8,0.6662362815,0.8228262047,56025,5.016722408,24.24660069,0.29,0.1987378818,0.182869947,0.4727455643,0.0059447595,0.0029723797,0.036125846,0.0014633254,0.2036766051,0.7370587159,0.37,0.0069250107,0.3121896163,1.0,21868
AL,Blount County,01009,0.373,11898.088409,4.8024000348,0.07646305,6.4487020436,0.226,0.37,0.4229208239,7.4,0.0002032486,0.0002842049,0.0001680333,2099.0,0.38,0.1251558215,0.1025821596,0.850761704,0.614,8.8,0.0,0.8392865268,1.1686912499,0.5262711265,0.8269620161,0.0214429478,4.6197221786,0.166,98.254695342,7.3934668638,0.2531326006,72.936172299,583.01102033,0.152,0.116,101.7,0.211,23.299702693,0.364,0.0251220602,0.174,0.376,23.082358483,305.8,0.1811242915,0.1095890411,0.195,0.297,0.1612391931,0.0328159331,0.0003677946,14.440234051,0.7950584702,0.0936733221,0.0372712822,1.0,0.667,0.6418799442,0.9385098336,2.821849,2.630106,0.0939942685,-1559.425,0.5816759048,0.8129917054,64962,4.9033746755,32.36761767,0.264,0.2293199144,0.1919386117,0.5025411261,0.006419687,0.0044302528,0.1051558112,0.0013374348,0.018255985,0.8544870938,0.358,0.0178906879,0.2252771295,0.9048939696,59816
AL,Bullock County,01011,0.494,15998.089209,5.8141217665,0.141025641,6.5114628472,0.349,0.33,0.428405909,4.4,0.0001937984,0.0002020814,0.00019604,4377.0,0.46,0.1140909091,0.1271929825,0.8766930023,0.428,8.4,0.0,0.6498696785,0.4550759634,0.3631386861,0.7404445649,0.0237777778,6.8069917504,0.398,116.28594517,4.900999804,0.4152856038,70.96745637,693.67332121,0.192,0.199,781.0,0.226,,0.372,0.3233919039,0.169,0.505,35.938391329,735.1,0.1276940906,0.1851851852,0.249,0.399,0.150947506,0.030418251,0.0006062443,15.968037496,0.6350999131,0.1827411168,0.0028000386,1.0,0.488,0.590653009,0.825,2.04144,2.187617,0.0135879064,-27966.27,0.7630637079,0.7815950303,36204,5.376344086,54.61572933,0.345,0.2040012125,0.1926846519,0.448317672,0.0078811761,0.0034353845,0.0617358796,0.0058603617,0.6992017783,0.2229968677,0.451,0.018636127,0.7125890736,1.0,9897
AL,Butler County,01013,0.455,14616.39262,5.2460762338,0.1299133911,6.2540225973,0.26,0.35,0.4272216682,7.0,0.0002647744,0.0008704167,0.0003753351,3956.0,0.42,0.1038040427,0.0987748851,0.8514596062,0.342,8.4,0.0,0.7975764252,0.802799506,0.4157664905,0.8759495594,0.0291930292,5.2137173366,0.374,120.62475303,9.1152815013,0.3340562051,71.541917066,697.88518068,0.158,0.148,362.0,0.214,14.795109739,0.355,0.0691828694,0.171,0.436,34.91807682,750.7,0.1435183824,0.2542372881,0.204,0.343,0.1329761325,0.0300429185,0.0010880209,22.233380245,0.6841090609,0.1043018868,0.0935908876,2.0,0.558,0.6291777188,0.76,2.4592,2.151304,0.1349628332,-11647.55,0.8213793103,0.7677250795,44729,4.5998160074,38.238386928,0.293,0.2233706887,0.2211946469,0.5322054183,0.0051680992,0.0148514851,0.0175171363,0.0005984115,0.4467413774,0.5033184637,0.384,0.0016346316,0.4074425219,0.6943467535,18382
AL,Calhoun County,01015,0.383,14259.564795,4.9712460628,0.094386921,6.5870060371,0.215,0.37,0.644927474,5.9,0.0005863484,0.0016318958,0.0006477355,3587.0,0.36,0.1183334269,0.123715995,0.8511161129,0.307,8.9,0.0,0.8533850416,1.688379436,0.541490514,0.8608620448,0.0281949934,4.8695115258,0.285,99.10820068,13.904722424,0.2520013117,70.813154873,692.55471872,0.143,0.127,263.5,0.196,19.172999507,0.338,0.15398073,0.182,0.428,24.507465972,564.8,0.1648615977,0.1568627451,0.18,0.285,0.1482987144,0.0378404243,0.0010478489,56.022748088,0.703867036,0.1096265368,0.1663846927,1.0,0.636,0.5785633227,0.9208569119,2.975729,2.8132,0.1893051514,-6896.99,0.670131548,0.7995795911,51841,5.5092316855,21.932830706,0.247,0.2136409314,0.1874532977,0.5154214156,0.0052821891,0.0090097828,0.0475826469,0.0013656391,0.2202887597,0.6969311769,0.339,0.004305116,0.3356303202,0.3649401843,116429
AL,Chambers County,01017,0.454,12568.860637,4.8482805596,0.1307550645,6.3401671944,0.267,0.41,0.5001437939,6.9,0.0004053154,0.0001467179,0.0002053509,3244.0,0.39,0.1273807243,0.152,0.8597038192,0.334,8.9,0.0,0.7876145763,0.9329016889,0.5251649157,0.836219572,0.0238446411,5.0998743403,0.26,97.408575518,16.428068529,0.2941456638,71.861783224,613.52825634,0.159,0.146,401.9,0.218,18.914350021,0.369,0.0810298845,0.169,0.426,28.806584362,836.1,0.156645978,0.2631578947,0.209,0.337,0.1606102778,0.0321708185,0.0002934358,37.197022354,0.7098889634,0.0972611267,0.0182043023,1.0,0.583,0.5852575148,0.8260416667,2.588949,2.433826,0.1243006739,-22570.905,0.6704683329,0.6801478373,50390,5.8365758755,27.975703525,0.311,0.2086035388,0.2114205229,0.5278030459,0.0045189119,0.0089204495,0.0413157663,0.0005575281,0.3912380058,0.5436485812,0.388,0.0029878331,0.3321193444,0.5074485218,34079
AL,Cherokee County,01019,0.402,12680.903028,4.8918141448,0.0763975155,6.138263801,0.195,0.45,0.2998278002,7.0,0.0004400704,0.0006623549,0.0001580903,3981.0,0.36,0.1325415178,0.0851393189,0.8576738726,0.443,8.4,0.0,0.8023289109,11.577524893,0.5010112153,0.838685626,0.0239581576,4.5494250824,0.205,110.23133054,7.9045134772,0.2129255319,72.395529183,636.45289725,0.137,0.113,113.3,0.2,27.647307483,0.325,0.0500865225,0.179,0.374,26.613704071,241.1,0.1779719779,0.1315789474,0.176,0.269,0.1645754914,0.0353964401,0.0010909374,4.0480765858,0.794502243,0.0744437513,0.0346001362,1.0,0.457,0.5951136913,0.93,2.710662,2.496581,0.052029622,709.97,0.6850231601,0.8492781852,56400,5.5096418733,31.041784459,0.238,0.1865892621,0.2516948492,0.5,0.0082209928,0.0043247877,0.0191693291,0.0005065067,0.0422348632,0.9085171043,0.332,0.0096065874,0.3150307399,1.0,25666
