feature,coefficient,abs_coefficient
Diabetes Prevalence raw value,0.041589265248670945,0.041589265248670945
Poor or Fair Health raw value,-0.034165970907474835,0.034165970907474835
Physical Inactivity raw value,0.01929175767667515,0.01929175767667515
Frequent Physical Distress raw value,-0.014089848118537892,0.014089848118537892
% Disability: Functional Limitations raw value,0.011771150108462063,0.011771150108462063
Adult Smoking raw value,0.010458076274907538,0.010458076274907538
Poor Physical Health Days raw value,0.007547954257945487,0.007547954257945487
% Asian raw value,-0.007098474576446623,0.007098474576446623
Median Household Income raw value,-0.006332075368678302,0.006332075368678302
% Below 18 Years of Age raw value,0.006047655331243222,0.006047655331243222
Poor Mental Health Days raw value,-0.005804244977605587,0.005804244977605587
Census Participation raw value,0.003672972085543839,0.003672972085543839
Lack of Social and Emotional Support raw value,0.0036314015387444005,0.0036314015387444005
Reading Scores raw value,-0.0030790142304160987,0.0030790142304160987
Life Expectancy raw value,-0.0030367293722578653,0.0030367293722578653
Premature Death raw value,-0.003029678559201309,0.003029678559201309
Child Care Cost Burden raw value,0.0028032634787840986,0.0028032634787840986
Low Birth Weight raw value,-0.0026400208543700164,0.0026400208543700164
% Hispanic raw value,-0.0026259956328790568,0.0026259956328790568
Air Pollution: Particulate Matter raw value,0.002348397649427747,0.002348397649427747
% Not Proficient in English raw value,-0.0022905830838183777,0.0022905830838183777
Food Insecurity raw value,-0.0022091173591737012,0.0022091173591737012
Excessive Drinking raw value,0.0022045038757113784,0.0022045038757113784
% 65 and Older raw value,0.0020568074633149887,0.0020568074633149887
Adverse Climate Events raw value,-0.0019465527522866796,0.0019465527522866796
Voter Turnout raw value,0.0019380577473271964,0.0019380577473271964
Math Scores raw value,0.0018938183236387783,0.0018938183236387783
Teen Births raw value,-0.0018923498968790229,0.0018923498968790229
% Female raw value,-0.0017370814691468862,0.0017370814691468862
Unemployment raw value,0.0015691816286233107,0.0015691816286233107
HIV Prevalence raw value,-0.0015623871732487115,0.0015623871732487115
Insufficient Sleep raw value,0.0014507470241418277,0.0014507470241418277
% Non-Hispanic White raw value,0.0013059822611685582,0.0013059822611685582
Driving Alone to Work raw value,0.0012112132264745375,0.0012112132264745375
Severe Housing Problems raw value,-0.0012005833725882086,0.0012005833725882086
Alcohol-Impaired Driving Deaths raw value,0.001145233564496928,0.001145233564496928
Children Eligible for Free or Reduced Price Lunch raw value,0.0010940535840338378,0.0010940535840338378
Uninsured Adults raw value,-0.001075405006963135,0.001075405006963135
Motor Vehicle Crash Deaths raw value,-0.0010326429062188843,0.0010326429062188843
Primary Care Physicians raw value,-0.0010184704291190767,0.0010184704291190767
Mammography Screening raw value,0.000993677570799033,0.000993677570799033
Severe Housing Cost Burden raw value,-0.0009224436418889905,0.0009224436418889905
Income Inequality raw value,-0.0008688521409896897,0.0008688521409896897
Population raw value,-0.0008316373661440956,0.0008316373661440956
Social Associations raw value,0.0008076073987429959,0.0008076073987429959
Injury Deaths raw value,-0.000783351190331082,0.000783351190331082
Flu Vaccinations raw value,-0.0007670899276252295,0.0007670899276252295
Suicides raw value,-0.000766037545376114,0.000766037545376114
School Funding Adequacy raw value,-0.0007595559502371854,0.0007595559502371854
Library Access raw value,0.000750805497453632,0.000750805497453632
Access to Parks raw value,-0.0007281119982307218,0.0007281119982307218
Long Commute - Driving Alone raw value,-0.0007079394028194576,0.0007079394028194576
Children in Poverty raw value,0.0007059532058331525,0.0007059532058331525
High School Completion raw value,0.000702740675054576,0.000702740675054576
Gender Pay Gap raw value,-0.0006897880530492038,0.0006897880530492038
Broadband Access raw value,0.0006851678311173769,0.0006851678311173769
Access to Exercise Opportunities raw value,0.000649756860780069,0.000649756860780069
% Non-Hispanic Black raw value,-0.000521571436478516,0.000521571436478516
Mental Health Providers raw value,-0.0005086501349758892,0.0005086501349758892
Limited Access to Healthy Foods raw value,0.0004229294062476333,0.0004229294062476333
Preventable Hospital Stays raw value,0.00040710293059570624,0.00040710293059570624
Dentists raw value,0.0004021969508909251,0.0004021969508909251
Other Primary Care Providers raw value,-0.0002970178745854901,0.0002970178745854901
% Rural raw value,-0.0002496192123611964,0.0002496192123611964
Child Care Centers raw value,-0.0002117431938048885,0.0002117431938048885
Drinking Water Violations raw value,-0.00018991169773107365,0.00018991169773107365
Traffic Volume raw value,-9.879976767256392e-05,9.879976767256392e-05
School Segregation raw value,-9.666315745398153e-05,9.666315745398153e-05
% Native Hawaiian or Other Pacific Islander raw value,-9.661659477837005e-05,9.661659477837005e-05
Frequent Mental Distress raw value,9.157103260845575e-05,9.157103260845575e-05
Children in Single-Parent Households raw value,-8.325796495181677e-05,8.325796495181677e-05
High School Graduation raw value,7.771741633521493e-05,7.771741633521493e-05
Some College raw value,5.062331609039332e-05,5.062331609039332e-05
Uninsured raw value,-0.0,0.0
Food Environment Index raw value,-0.0,0.0
Feelings of Loneliness raw value,0.0,0.0
Premature Age-Adjusted Mortality raw value,0.0,0.0
Uninsured Children raw value,-0.0,0.0
Sexually Transmitted Infections raw value,-0.0,0.0
Homeownership raw value,0.0,0.0
% American Indian or Alaska Native raw value,0.0,0.0
